postcode,invoeding,afname
,0,0
1011AA,0,3
1011AB,0,1
1011AC,0,1
1011AD,0,1
1011AE,0,1
1011AG,0,1
1011AH,0,1
1011AJ,0,1
1011AK,0,1
1011AL,0,1
1011AM,0,1
1011AN,0,1
1011AP,0,1
1011AR,0,1
1011AS,0,1
1011AT,0,1
1011AV,0,1
1011AW,0,1
1011AX,0,1
1011AZ,0,1
1011BA,0,1
1011BB,0,1
1011BC,0,1
1011BD,0,1
1011BG,0,1
1011BH,0,1
1011BJ,0,1
1011BK,0,1
1011BL,0,1
1011BM,0,1
1011BN,0,1
1011BP,0,1
1011BR,0,1
1011BS,0,1
1011BT,0,1
1011BV,0,1
1011BW,0,1
1011BX,0,1
1011BZ,0,1
1011CA,0,1
1011CB,0,1
1011CC,0,1
1011CD,0,1
1011CE,0,1
1011CH,0,1
1011CJ,0,1
1011CK,0,1
1011CL,0,1
1011CM,0,1
1011CN,0,1
1011CP,0,1
1011CR,0,1
1011CS,0,1
1011CT,0,1
1011CV,0,1
1011CW,0,1
1011CX,0,1
1011CZ,0,1
1011DB,0,1
1011DC,0,1
1011DD,0,1
1011DE,0,1
1011DG,0,1
1011DK,0,1
1011DL,0,1
1011DZ,0,1
1011EA,0,1
1011EB,0,1
1011EC,0,1
1011ED,0,1
1011EE,0,1
1011EG,0,1
1011EH,0,1
1011EJ,0,1
1011EK,0,1
1011EL,0,1
1011EM,0,1
1011EN,0,1
1011ER,0,1
1011ES,0,1
1011ET,0,1
1011EV,0,1
1011EW,0,1
1011EX,0,1
1011EZ,0,1
1011GA,0,1
1011GB,0,1
1011GC,0,1
1011GD,0,1
1011GG,0,1
1011GH,0,1
1011GJ,0,1
1011GK,0,1
1011GL,0,1
1011GM,0,1
1011GN,0,1
1011GP,0,1
1011GR,0,1
1011GS,0,1
1011GT,0,1
1011GV,0,1
1011GW,0,1
1011GX,0,1
1011GZ,0,1
1011HA,0,1
1011HB,0,1
1011HC,0,1
1011HD,0,1
1011HE,0,1
1011HG,0,1
1011HH,0,1
1011HJ,0,1
1011HK,0,1
1011HL,0,1
1011HM,0,1
1011HN,0,1
1011HP,0,1
1011HR,0,1
1011HS,0,1
1011HT,0,1
1011HV,0,1
1011HW,0,1
1011HX,0,1
1011HZ,0,1
1011JA,0,1
1011JB,0,1
1011JC,0,1
1011JD,0,1
1011JG,0,1
1011JH,0,1
1011JJ,0,1
1011JK,0,1
1011JL,0,1
1011JN,0,1
1011JP,0,1
1011JR,0,1
1011JS,0,1
1011JT,0,1
1011JV,0,1
1011JW,0,1
