postcode,invoeding,afname,"congestiemanagement invoeding","congestiemanagement afname"
1011AA,0,3,0,0
1011AB,0,2,0,0
1011AC,0,2,0,0
1011AD,0,2,0,0
1011AE,0,2,0,0
1011AG,0,2,0,0
1011AH,0,2,0,0
1011AJ,0,2,0,0
1011AK,0,2,0,0
1011AL,0,2,0,0
1011AM,0,2,0,0
1011AN,0,2,0,0
1011AP,0,2,0,0
1011AR,0,2,0,0
1011AS,0,2,0,0
1011AT,0,2,0,0
1011AV,0,2,0,0
1011AW,0,2,0,0
1011AX,0,2,0,0
1011AZ,0,2,0,0
1011BA,0,2,0,0
1011BB,0,2,0,0
1011BC,0,2,0,0
1011BD,0,2,0,0
1011BG,0,2,0,0
1011BH,0,2,0,0
1011BJ,0,2,0,0
1011BK,0,2,0,0
1011BL,0,2,0,0
1011BM,0,2,0,0
1011BN,0,2,0,0
1011BP,0,2,0,0
1011BR,0,2,0,0
1011BS,0,2,0,0
1011BT,0,2,0,0
1011BV,0,2,0,0
1011BW,0,2,0,0
1011BX,0,2,0,0
1011BZ,0,2,0,0
1011CA,0,2,0,0
1011CB,0,2,0,0
1011CC,0,2,0,0
1011CD,0,2,0,0
1011CE,0,2,0,0
1011CH,0,2,0,0
1011CJ,0,2,0,0
1011CK,0,2,0,0
1011CL,0,2,0,0
1011CM,0,2,0,0
1011CN,0,2,0,0
1011CP,0,2,0,0
1011CR,0,2,0,0
1011CS,0,2,0,0
1011CT,0,2,0,0
1011CV,0,2,0,0
1011CW,0,2,0,0
1011CX,0,2,0,0
1011CZ,0,2,0,0
1011DB,0,2,0,0
1011DC,0,2,0,0
1011DD,0,2,0,0
1011DE,0,2,0,0
1011DG,0,2,0,0
1011DH,0,2,0,0
1011DJ,0,2,0,0
1011DK,0,2,0,0
1011DL,0,2,0,0
1011DZ,0,2,0,0
1011EA,0,2,0,0
1011EB,0,2,0,0
1011EC,0,2,0,0
1011ED,0,2,0,0
1011EE,0,2,0,0
1011EG,0,2,0,0
1011EH,0,2,0,0
1011EJ,0,2,0,0
1011EK,0,2,0,0
1011EL,0,2,0,0
1011EM,0,2,0,0
1011EN,0,2,0,0
1011ER,0,2,0,0
1011ES,0,2,0,0
1011ET,0,2,0,0
1011EV,0,2,0,0
1011EW,0,2,0,0
1011EX,0,2,0,0
1011EZ,0,2,0,0
1011GA,0,2,0,0
1011GB,0,2,0,0
1011GC,0,2,0,0
1011GD,0,2,0,0
1011GG,0,2,0,0
1011GH,0,2,0,0
1011GJ,0,2,0,0
1011GK,0,2,0,0
1011GL,0,2,0,0
